,node,node.type,current_rangetxt,event_type,event_txt,ana_dispersal_from,dispersal_to,event_time,abs_event_time,nmap
7257,146,tip,C,d,C->BC,C,B,0.293639156083264,0.0176072456167355,935
7258,162,tip,C,d,C->AC,C,A,0.482195922526373,0.262409131073627,935
7259,169,tip,C,d,C->BC,C,B,0.348987079474994,0.151190043125006,935
7260,229,internal,A,d,A->AB,A,B,0.0690987095346643,2.13632175326534,935
7261,7,tip,B,d,B->AB,B,A,0.21750648510117,0.14340982069883,936
7262,162,tip,C,d,C->AC,C,A,0.40616857181823,0.33843648178177,936
7263,169,tip,B,d,B->BC,B,C,0.161916327774456,0.338260794825543,936
7264,195,internal,C,d,C->BC,C,B,1.83700500685604,39.774121263144,936
7265,195,internal,BC,d,BC->ABC,C,A,16.7536540445239,24.8574722254761,936
7266,252,internal,B,d,B->AB,B,A,0.19299797655926,0.64765543654074,936
7267,294,internal,A,d,A->AB,A,B,0.45583557039041,3.45038565660959,936
7268,342,internal,C,d,C->BC,C,B,0.108984115155209,0.217570978144791,936
7269,343,internal,C,d,C->BC,C,B,0.069416647138343,1.63266138046166,936
7270,346,internal,C,d,C->BC,C,B,0.062508332428769,0.689781211671231,936
7271,7,tip,A,d,A->AB,A,B,0.259995177247664,0.100921128552336,937
7272,146,tip,C,d,C->BC,C,B,0.146862779684321,0.164383622015679,937
7273,162,tip,C,d,C->AC,C,A,0.535344134677189,0.209260918922811,937
7274,169,tip,C,d,C->BC,C,B,0.131381414428611,0.368795708171389,937
7275,195,internal,AB,d,AB->ABC,A,C,2.26442730798662,39.3466989620134,937
7276,200,internal,A,d,A->AB,A,B,0.878239879860972,3.61858710053903,937
7277,239,internal,B,d,B->AB,B,A,0.193783047342243,1.48330370145776,937
7278,252,internal,B,d,B->AB,B,A,0.178266816546012,0.662386596553988,937
7279,266,internal,B,d,B->BC,B,C,0.583468371058484,2.65214245694152,937
7280,343,internal,C,d,C->BC,C,B,0.429344570109299,1.2727334574907,937
7281,7,tip,B,d,B->AB,B,A,0.16933208902477,0.19158421677523,938
7282,162,tip,A,d,A->AC,A,C,0.345154910114142,0.399450143485858,938
7283,169,tip,C,d,C->BC,C,B,0.205407937621246,0.294769184978754,938
7284,195,internal,AB,d,AB->ABC,A,C,6.38378888582729,35.2273373841727,938
7285,252,internal,B,d,B->AB,B,A,0.440467771070086,0.400185642029914,938
7286,298,internal,B,d,B->AB,B,A,0.575649546743708,4.71678470325629,938
7287,347,internal,B,d,B->BC,B,C,0.0249312494557213,0.483025994544279,938
7288,7,tip,B,d,B->AB,B,A,0.27783098815984,0.0830853176401597,939
7289,162,tip,C,d,C->AC,C,A,0.145916295386217,0.598688758213783,939
7290,169,tip,C,d,C->BC,C,B,0.305103795273443,0.195073327326557,939
7291,252,internal,B,d,B->AB,B,A,0.220688912776056,0.619964500323944,939
7292,343,internal,C,d,C->BC,C,B,0.891400863928481,0.810677163671519,939
7293,346,internal,C,d,C->BC,C,B,0.243062132328806,0.509227411771194,939
7294,7,tip,B,d,B->AB,B,A,0.067715578545405,0.293200727254595,940
7295,162,tip,C,d,C->AC,C,A,0.681782555110829,0.0628224984891714,940
7296,169,tip,C,d,C->BC,C,B,0.280654118272477,0.219523004327523,940
7297,195,internal,C,d,C->BC,C,B,29.1162507104086,12.4948755595914,940
7298,198,internal,A,d,A->AC,A,C,0.209209149122959,5.08322508547704,940
7299,200,internal,C,d,C->BC,C,B,0.349762981229839,4.14706399917016,940
7300,252,internal,B,d,B->AB,B,A,0.0520695039369421,0.788583909163058,940
7301,294,internal,C,d,C->BC,C,B,1.5868393272349,2.3193818997651,940
7302,346,internal,C,d,C->BC,C,B,0.219337131807542,0.532952412292458,940
7303,7,tip,B,d,B->AB,B,A,0.0584012104461868,0.302515095353813,941
7304,162,tip,C,d,C->AC,C,A,0.528783475652224,0.215821577947776,941
7305,169,tip,C,d,C->BC,C,B,0.1732689860367,0.3269081365633,941
7306,195,internal,A,d,A->AC,A,C,0.836496351126809,40.7746299188732,941
7307,252,internal,B,d,B->AB,B,A,0.391962543729958,0.448690869370042,941
7308,345,internal,B,d,B->BC,B,C,0.343599076926931,0.881199418873069,941
7309,7,tip,B,d,B->AB,B,A,0.00582030915978728,0.355095996640213,942
7310,52,tip,B,d,B->AB,B,A,0.135646935818002,0.243596277181998,942
7311,162,tip,C,d,C->AC,C,A,0.278257770903089,0.466347282696911,942
7312,169,tip,C,d,C->BC,C,B,0.35633605960239,0.14384106299761,942
7313,345,internal,B,d,B->BC,B,C,0.198143068671738,1.02665542712826,942
7314,169,tip,B,d,B->BC,B,C,0.250670977959247,0.249506144640753,943
7315,195,internal,A,d,A->AB,A,B,14.3053814401251,27.3057448298749,943
