,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
362,295,internal,3,founder (j),B->B,C,B,C,0.8551954,296,100,15
363,296,internal,3,founder (j),B->A,B,B,A,0.268087,297,99,15
364,322,internal,2,founder (j),A->A,B,A,B,3.3665084,323,132,15
365,338,internal,4,founder (j),C->C,B,C,B,1.702078,339,343,15
366,340,internal,4,founder (j),C->C,B,C,B,0.5409251,341,142,15
367,342,internal,4,founder (j),C->B,C,C,B,0.1590774,139,140,15
368,343,internal,3,founder (j),B->B,C,B,C,0.7205464,144,145,15
369,348,internal,4,founder (j),C->C,B,C,B,0.5832148,349,152,15
370,351,internal,4,founder (j),C->B,C,C,B,0.966689,352,155,15
371,353,internal,4,founder (j),C->A,C,C,A,0.5783452,156,157,15
372,200,internal,5,founder (j),AB->AB,C,A,C,3.576646,201,261,16
373,203,internal,3,founder (j),B->B,A,B,A,1.6275389,204,228,16
374,213,internal,3,founder (j),B->A,B,B,A,0.3609163,7,8,16
375,218,internal,3,founder (j),B->B,C,B,C,0.4777196,219,12,16
376,220,internal,3,founder (j),B->C,B,B,C,0.6232862,16,17,16
377,223,internal,3,founder (j),B->B,A,B,A,0.4909459,224,20,16
378,227,internal,3,founder (j),B->B,A,B,A,0.5946518,24,25,16
379,230,internal,3,founder (j),B->B,A,B,A,1.6770867,231,239,16
380,233,internal,3,founder (j),B->C,B,B,C,0.5509269,234,236,16
381,237,internal,3,founder (j),B->C,B,B,C,0.7430716,238,36,16
