AB->A,B	ABC->A,BC	ABC->B,AC	ABC->C,AB	AC->A,C	BC->B,C
606	2	0	0	1	1	0
607	1	0	0	1	0	0
608	2	0	0	1	0	1
609	2	1	0	1	0	2
610	1	0	0	0	3	1
611	2	0	0	1	0	0
612	0	0	0	0	0	0
613	0	0	0	0	1	1
614	1	0	0	1	0	0
615	2	0	0	1	0	0
616	2	0	0	0	0	1
617	3	1	0	1	0	0
618	2	0	0	2	0	0
619	0	0	0	0	1	1
620	1	0	1	1	1	0
621	1	0	0	1	1	0
622	2	0	0	1	0	0
623	1	0	0	0	0	1
624	3	0	0	0	1	1
625	2	0	0	1	0	1
626	2	0	0	1	0	1
627	1	1	0	0	0	2
628	1	0	0	0	1	0
629	2	0	0	1	1	0
630	2	0	0	1	0	0
631	2	0	1	1	1	0
632	1	0	0	1	0	0
633	1	1	0	0	0	2
634	2	0	0	1	0	1
635	1	0	0	1	0	2
636	1	0	0	1	0	0
637	1	0	0	0	1	0
638	1	0	0	1	0	3
639	4	0	0	1	0	0
640	1	0	0	1	0	0
641	1	0	0	0	2	1
642	2	0	0	0	0	2
643	2	0	0	1	0	1
644	1	0	0	1	0	0
645	2	0	0	1	0	1
646	2	0	0	2	0	1
647	2	0	0	1	1	0
648	1	1	0	1	0	1
649	1	0	0	0	2	0
650	2	0	0	2	0	1
651	2	0	0	1	0	1
652	2	0	0	2	0	0
653	1	0	0	0	1	2
654	5	0	0	1	0	0
655	1	0	0	1	0	0
656	1	0	0	1	1	0
657	1	0	0	1	0	1
658	4	0	0	1	1	0
659	3	0	0	1	0	0
660	1	0	0	1	1	0
661	1	0	0	0	1	0
662	2	0	0	1	0	0
663	1	0	0	1	0	1
664	1	0	0	1	1	2
665	1	0	0	1	0	1
666	2	0	0	1	1	1
667	1	0	0	1	0	0
668	1	0	0	1	0	0
669	1	0	0	2	0	0
670	1	0	0	1	0	1
671	1	0	0	1	0	0
672	2	0	0	1	1	0
673	3	0	0	1	0	0
674	2	1	0	1	0	0
675	0	0	0	0	0	0
676	1	0	0	1	0	0
677	2	0	0	0	0	0
678	2	0	1	1	1	1
679	2	0	0	1	0	1
680	1	1	0	1	0	0
681	0	0	0	0	0	0
682	1	0	0	1	0	1
683	3	0	0	1	1	0
684	3	0	0	1	0	0
685	4	0	0	1	0	0
686	2	0	0	1	0	0
687	1	0	0	1	0	1
688	2	0	0	1	0	0
689	2	1	0	1	0	0
690	1	0	0	1	0	0
691	1	0	0	0	1	0
692	2	0	0	1	0	0
693	1	0	0	0	1	0
694	3	0	0	1	0	0
695	2	0	0	1	0	0
696	0	1	0	0	0	1
697	1	0	0	0	2	0
698	1	0	0	0	1	0
699	1	0	0	1	2	0
700	1	0	0	0	0	0
701	2	0	0	1	0	0
702	3	1	0	1	0	0
703	0	0	0	0	2	0
704	2	0	0	1	1	0
705	2	0	1	1	1	0
706	2	0	0	1	0	0
707	2	0	0	0	1	1
