AB->A,AB	AB->B,AB	ABC->A,ABC	ABC->B,ABC	ABC->C,ABC	AC->A,AC	AC->C,AC	BC->B,BC	BC->C,BC
271	2	3	0	0	0	0	0	2	7
272	1	0	0	0	0	0	0	2	3
273	0	1	0	0	0	0	0	1	1
274	4	2	0	0	0	0	0	1	0
275	3	1	0	0	0	1	1	0	0
276	1	0	1	0	0	0	0	1	1
277	1	0	1	0	0	0	0	0	1
278	1	1	0	0	0	0	0	1	1
279	5	3	0	0	0	0	0	1	1
280	2	1	0	0	0	0	0	0	2
281	1	0	0	0	1	1	0	1	2
282	1	0	1	0	0	0	0	0	1
283	1	2	0	0	0	0	0	1	2
284	1	2	0	0	0	1	0	0	0
285	1	1	0	0	0	0	0	1	1
286	5	4	0	0	0	0	0	0	1
287	1	0	0	0	0	0	0	1	1
288	2	1	0	0	0	0	0	1	0
289	4	3	0	0	0	0	0	0	0
290	1	0	2	1	1	0	0	1	1
291	1	1	0	0	0	0	0	0	0
292	1	1	0	0	0	0	0	0	2
293	4	1	0	0	0	0	0	1	3
294	1	2	0	0	0	0	0	1	3
295	1	0	0	0	0	0	0	1	1
296	1	1	0	0	0	0	0	0	1
297	3	1	0	0	0	1	0	0	0
298	1	0	0	0	0	0	0	1	0
299	1	2	0	0	0	0	0	1	2
300	1	0	0	1	0	0	0	0	0
301	3	4	0	0	0	0	0	1	2
302	2	4	0	0	0	0	2	1	2
303	2	0	1	0	0	0	0	0	1
304	1	0	0	0	0	0	0	0	1
305	0	0	0	0	0	1	0	1	1
306	2	1	0	0	0	0	0	0	0
307	3	1	0	0	0	0	0	1	2
308	1	0	0	0	0	0	0	0	0
309	0	1	0	0	1	0	0	0	2
310	1	1	0	0	0	1	0	0	0
311	2	1	0	0	0	0	0	1	2
312	1	1	0	0	0	1	0	0	0
313	2	2	0	0	0	0	0	0	1
314	4	2	0	0	0	0	0	0	0
315	1	1	0	0	0	0	1	0	0
316	1	2	0	0	0	0	0	1	0
317	1	0	0	1	0	0	0	0	1
318	1	1	0	0	0	1	0	0	0
319	1	0	0	0	0	0	0	0	1
320	0	0	0	0	0	0	0	0	0
321	0	0	0	0	0	0	0	1	2
322	1	0	0	0	0	0	0	0	0
323	1	0	0	0	0	0	0	0	0
324	2	3	0	0	0	0	0	0	0
325	0	1	0	0	0	0	0	1	2
326	0	0	0	0	1	3	0	0	0
327	1	2	1	0	0	0	0	0	1
328	1	1	0	0	0	1	0	0	0
329	1	2	0	0	0	0	1	0	0
330	2	0	0	0	0	0	0	1	2
331	0	0	0	0	0	0	0	1	2
332	2	2	0	0	0	0	0	0	0
333	1	0	0	0	0	0	1	0	0
334	3	1	0	0	0	0	0	0	1
335	1	0	0	0	0	0	0	0	2
336	1	2	0	0	0	0	0	3	3
337	1	1	0	0	0	0	0	1	1
338	3	1	0	0	0	0	0	1	1
339	1	1	0	0	0	0	0	0	0
340	1	2	0	0	0	0	0	0	2
341	2	1	0	0	0	1	0	0	0
342	2	2	0	0	0	0	0	1	2
343	1	0	0	0	0	0	0	1	1
344	0	1	0	0	0	0	0	0	0
345	0	0	0	0	0	0	0	1	1
346	3	0	0	0	0	0	0	0	0
347	4	1	0	0	0	0	0	1	3
348	0	0	0	0	0	0	0	0	0
349	1	1	0	0	0	0	0	1	1
350	6	6	0	0	0	0	1	0	2
351	1	0	0	0	0	1	0	1	1
352	1	1	1	0	0	0	0	0	0
353	1	0	0	0	0	0	0	0	0
354	1	2	0	0	0	0	0	0	0
355	0	0	0	0	0	0	0	1	2
356	0	1	1	0	0	0	0	1	1
357	2	4	0	0	0	0	1	1	1
358	1	0	0	0	0	0	0	1	2
359	2	2	0	0	0	0	0	1	2
360	0	0	0	0	0	0	0	0	1
361	0	0	0	0	0	0	0	0	1
362	2	1	0	0	0	0	0	1	3
363	0	0	0	0	0	0	0	0	1
364	2	0	0	0	0	0	0	1	1
365	4	1	0	0	0	0	0	0	2
366	0	0	0	0	0	0	0	1	1
367	1	2	0	0	0	0	0	0	0
368	2	0	0	0	0	0	0	1	2
369	2	0	0	0	0	0	0	1	1
370	1	3	0	0	0	0	0	0	0
371	1	1	0	0	0	1	0	0	0
372	0	0	0	0	0	0	0	1	0
373	0	0	0	0	0	1	0	0	0
374	1	0	0	0	0	0	0	1	1
375	2	1	1	1	0	0	1	1	1
376	1	0	0	0	0	0	0	0	0
377	0	1	0	0	0	0	0	0	2
378	1	0	0	0	0	0	0	1	2
379	0	2	0	0	0	0	0	0	0
380	4	1	0	0	0	0	0	0	0
381	1	2	0	0	0	0	0	1	1
382	0	0	0	0	0	0	0	1	2
383	2	3	0	0	0	0	0	1	1
384	1	0	0	0	0	0	0	0	1
385	1	0	0	0	0	0	0	0	0
386	2	0	0	0	0	0	0	1	1
387	2	1	0	1	0	1	1	1	2
388	2	1	0	0	0	0	0	1	1
389	1	1	0	0	0	0	0	0	2
390	3	5	0	0	0	1	2	1	2
391	0	0	0	0	0	1	0	0	0
392	0	1	1	0	0	0	0	1	1
393	2	1	0	1	0	1	0	1	1
394	5	2	0	0	0	0	0	2	1
395	1	4	1	0	0	0	0	0	0
396	1	0	0	0	0	1	1	1	2
397	1	0	2	1	1	1	0	1	1
398	0	0	0	0	0	0	0	1	2
399	1	0	0	0	1	3	0	0	0
400	4	2	1	0	0	0	0	1	2
401	1	0	0	0	0	0	0	0	0
402	2	1	0	0	0	0	0	2	6
403	2	0	0	0	0	0	1	1	4
404	3	4	1	0	0	0	0	0	1
405	2	1	1	0	0	0	0	1	2
406	1	3	0	0	0	0	0	1	2
407	3	2	0	0	0	0	0	1	0
408	1	0	0	0	0	0	0	1	1
409	2	0	1	0	0	0	0	1	1
410	4	1	0	0	1	2	0	2	1
411	1	1	0	0	0	0	0	1	1
412	1	1	0	0	0	0	2	3	6
413	1	0	1	1	0	0	0	1	3
414	1	1	0	1	0	0	1	1	2
415	1	1	0	0	0	0	0	0	1
416	3	2	0	0	0	0	0	0	0
417	1	1	0	0	0	0	0	0	2
418	1	1	0	0	0	0	0	1	1
419	1	0	0	0	0	0	0	0	2
420	2	2	0	0	0	0	0	1	1
421	0	0	0	0	0	1	1	1	2
422	0	1	0	0	0	0	0	0	1
423	2	2	0	0	0	0	0	1	1
424	1	1	0	0	0	0	1	0	0
425	1	1	0	0	0	0	0	0	0
426	1	0	0	0	0	0	0	0	1
427	2	0	0	0	0	0	0	0	0
428	0	0	0	0	0	1	0	0	1
429	3	0	0	0	0	0	0	0	0
430	2	0	1	0	0	0	0	0	0
431	2	0	0	0	0	0	0	1	2
432	3	1	0	0	0	0	0	1	2
433	1	1	0	0	0	1	2	0	0
434	2	3	0	0	0	1	1	1	4
435	2	0	1	1	1	1	0	1	2
436	1	2	0	0	0	1	0	0	0
437	2	1	0	0	0	0	0	1	3
438	1	0	0	0	0	0	0	0	0
439	0	0	1	0	0	0	0	1	3
440	4	4	0	0	0	0	0	0	3
441	2	1	0	0	0	0	0	0	0
442	1	0	0	0	0	0	0	0	0
443	2	2	1	1	1	0	1	1	1
444	1	2	1	0	0	0	0	0	0
445	1	0	0	0	0	0	0	1	4
446	1	2	0	0	0	0	0	0	0
447	2	0	1	1	1	0	0	3	4
448	2	0	0	0	0	0	0	0	0
449	3	1	0	0	0	0	0	2	0
450	3	3	0	0	0	0	2	0	0
451	4	1	0	0	0	1	0	0	2
452	3	6	0	0	0	0	1	0	1
453	1	0	0	0	0	0	2	0	1
454	0	0	0	0	0	0	0	1	1
455	0	0	0	0	0	0	0	1	1
456	1	0	0	0	0	0	0	0	0
457	1	0	1	0	0	0	0	2	1
458	1	0	0	0	0	0	0	0	0
459	1	0	1	2	1	0	0	2	2
460	2	1	0	0	1	3	0	1	1
461	1	0	0	0	0	0	0	1	1
462	2	2	0	0	0	0	0	0	0
463	1	0	0	0	0	0	0	2	2
464	0	0	0	0	0	0	0	0	0
465	1	3	0	0	0	0	0	0	3
466	1	1	0	0	0	0	0	0	0
467	1	3	0	0	0	0	0	1	1
468	1	2	1	0	0	0	0	0	0
469	1	1	0	0	0	0	0	1	1
470	4	3	1	0	0	0	0	0	1
471	0	2	0	0	0	0	0	1	2
472	4	1	0	0	0	0	0	0	0
473	1	0	0	0	0	0	0	1	2
474	0	1	0	0	0	1	0	0	1
475	1	0	1	0	0	0	0	1	1
476	3	2	0	0	0	0	0	1	1
477	2	1	0	0	0	0	5	1	2
478	2	0	0	0	0	0	0	1	2
479	1	0	0	0	0	0	0	2	3
480	0	0	0	0	0	0	0	0	0
481	2	0	0	0	0	0	0	0	2
482	1	0	0	0	0	0	0	1	2
483	1	1	0	0	0	0	0	0	1
484	1	2	1	0	0	0	0	1	1
485	2	2	0	0	0	0	0	1	2
486	3	2	0	0	0	0	0	1	1
487	1	1	1	0	0	1	0	1	1
488	1	0	0	0	0	0	0	1	2
489	1	2	0	0	0	1	1	1	1
490	1	0	0	0	0	1	0	1	1
491	1	3	0	0	0	0	0	2	3
492	4	2	0	0	0	0	0	1	3
493	1	0	0	0	0	1	0	2	0
494	2	1	0	0	0	0	0	0	0
495	2	3	1	0	0	0	0	1	1
496	1	1	0	0	0	1	2	1	2
497	1	2	0	0	0	0	0	0	3
498	6	4	0	1	0	0	0	1	1
499	4	3	0	0	0	0	1	0	0
500	1	0	0	0	0	0	0	0	0
501	0	1	0	0	0	0	0	1	2
502	0	0	0	0	0	0	0	1	1
503	2	2	0	0	0	0	0	1	2
504	1	0	0	0	0	1	0	1	1
505	1	1	0	0	0	0	0	1	1
506	1	0	0	0	0	1	0	1	2
507	1	0	2	1	2	0	0	1	1
508	0	0	0	0	0	0	0	1	3
509	1	2	0	0	0	0	0	0	0
510	1	0	0	0	0	0	0	2	3
511	1	2	0	0	0	0	0	0	0
512	1	0	0	0	0	0	0	0	1
513	1	0	0	0	0	0	0	1	1
514	1	2	0	0	0	1	0	0	1
515	1	1	0	0	0	0	0	0	0
516	1	1	0	0	0	0	1	2	1
517	3	2	0	0	0	1	0	1	1
518	0	0	0	0	0	0	0	1	4
519	1	3	0	0	0	0	0	1	2
520	2	1	0	0	0	0	0	1	2
521	1	0	0	0	0	0	0	0	0
522	3	0	0	0	0	0	0	0	0
523	1	2	0	0	0	0	1	0	0
524	3	0	0	0	0	0	1	0	0
525	2	0	3	1	1	1	0	0	0
526	0	0	0	0	1	2	1	0	0
527	0	1	0	0	0	0	0	1	1
528	0	2	1	0	0	0	0	1	2
529	1	0	0	0	0	0	0	0	0
530	1	0	1	0	0	0	1	1	2
531	2	1	0	0	0	0	3	1	1
532	1	1	1	0	0	0	0	0	1
533	2	1	2	1	1	0	0	1	0
534	1	0	0	0	0	0	1	1	4
535	1	0	0	0	0	0	0	0	0
536	4	1	0	0	0	1	0	1	0
537	0	0	0	0	0	0	0	0	0
538	4	3	0	0	0	0	0	2	2
539	1	1	0	0	0	0	0	1	2
540	1	0	0	0	0	0	0	0	0
541	1	0	0	0	0	0	0	1	1
542	1	0	0	0	0	0	0	1	1
543	1	0	0	0	0	0	0	1	2
544	1	0	0	0	0	1	0	1	1
545	2	2	0	0	0	0	1	1	1
546	1	0	0	0	0	0	0	0	1
547	0	2	0	0	0	0	0	1	2
548	4	3	0	0	0	0	0	1	2
549	1	1	1	1	0	0	0	0	0
550	1	0	0	0	0	0	0	0	0
551	0	0	0	0	0	1	0	1	2
552	1	1	3	2	1	0	0	0	1
553	2	0	2	2	2	0	0	1	1
554	1	0	0	0	0	0	0	1	2
555	0	0	0	0	0	0	0	1	2
556	2	1	0	0	0	0	3	1	1
557	1	0	0	0	0	0	0	0	1
558	3	2	0	1	0	0	1	1	1
559	2	2	1	0	0	0	0	1	1
560	1	2	0	0	0	0	0	0	1
561	3	3	0	0	0	0	0	0	2
562	1	0	0	0	0	0	2	0	0
563	1	0	0	0	0	0	0	1	2
564	1	4	3	1	1	0	0	1	3
565	2	1	0	0	0	1	1	1	0
566	1	2	0	0	0	0	0	0	0
567	1	0	1	0	0	0	0	1	1
568	2	1	0	0	0	0	0	1	1
569	1	1	1	0	0	0	0	0	0
570	0	1	1	0	0	0	0	1	5
571	4	7	0	0	0	0	0	1	1
572	2	0	0	0	0	0	0	1	4
573	3	1	0	0	0	0	0	1	1
574	3	1	0	0	0	0	0	1	1
575	1	1	0	0	0	0	0	0	0
576	2	0	0	0	0	0	0	0	2
577	2	2	0	0	0	0	0	1	0
578	3	1	0	0	0	1	0	2	2
579	1	2	0	0	0	0	0	1	1
580	0	0	0	0	0	0	0	0	1
581	0	1	0	0	0	1	0	0	0
582	2	0	0	0	0	0	0	0	0
583	1	1	0	0	0	0	0	1	4
584	3	1	0	0	0	0	0	0	1
585	1	3	1	0	0	0	0	0	3
586	1	0	0	0	0	0	0	0	0
587	4	1	0	0	0	0	0	0	0
588	0	0	0	0	0	0	0	1	2
589	1	1	0	0	0	0	0	0	1
590	3	1	2	1	1	1	0	3	2
591	3	2	0	0	0	0	0	0	1
592	1	7	1	0	0	0	0	0	0
593	2	0	0	0	0	0	0	0	0
594	2	1	1	0	0	0	0	1	6
595	1	1	0	0	0	0	0	1	3
596	1	0	0	0	0	0	0	0	1
597	0	0	0	0	0	0	0	0	1
598	3	2	0	0	0	0	0	1	2
599	2	1	0	0	0	0	0	0	0
600	0	0	0	0	0	0	0	0	0
601	1	1	0	0	0	0	2	2	3
602	1	0	1	0	0	0	0	1	1
603	1	0	0	0	0	0	0	0	1
604	1	0	0	0	0	0	0	1	1
605	2	1	0	0	0	0	0	1	3
606	2	1	0	0	0	0	0	1	1
607	2	2	0	0	0	0	0	1	2
608	2	3	0	0	0	0	0	1	0
609	5	2	0	0	0	0	0	2	1
610	3	1	0	0	0	0	0	0	0
611	1	1	0	0	0	0	0	0	0
612	1	0	0	0	0	0	0	0	0
613	1	2	0	0	0	0	0	0	1
614	2	0	0	0	0	0	0	0	0
615	2	2	0	0	0	1	0	1	2
616	2	3	0	0	0	0	0	1	1
617	1	1	0	0	0	0	0	0	0
618	2	1	0	0	0	0	0	1	1
619	1	1	0	0	0	1	0	1	1
620	1	0	0	0	0	1	0	0	0
621	1	2	0	0	0	0	0	1	1
622	1	0	0	0	0	0	0	0	0
623	1	0	0	0	0	0	0	1	1
624	1	0	0	0	0	0	0	1	1
625	1	0	1	0	0	0	1	0	1
