,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
252,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,50
253,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,50
254,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,50
255,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,50
256,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,51
257,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,51
258,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,51
259,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,51
260,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,52
261,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,52
262,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,52
263,83,internal,4,founder (j),C->C,B,C,B,1.4472368,84,20,52
264,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,52
265,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,52
266,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,53
267,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,53
268,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,53
269,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,53
270,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,53
271,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,54
272,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,54
273,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,54
274,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,54
275,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,54
276,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,55
277,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,55
278,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,55
279,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,55
280,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,55
281,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,56
282,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,56
283,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,56
