,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
346,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,106
347,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,106
348,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,106
349,23,internal,3,founder (j),B->B,A,B,A,3.3308011,24,36,107
350,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,107
351,37,internal,2,founder (j),A->A,B,A,B,1.2195943,38,40,107
352,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,108
353,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,108
354,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,108
355,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,109
356,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,109
357,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,109
358,24,internal,4,founder (j),C->C,B,C,B,1.6867921,25,13,110
359,25,internal,4,founder (j),C->C,B,C,B,1.5904059,26,33,110
360,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,110
361,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,111
362,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,111
363,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,111
364,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,112
365,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,112
366,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,112
367,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,113
368,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,113
369,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,113
370,22,root,2,founder (j),A->B,A,A,B,7.2926829,23,21,114
371,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,114
372,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,114
373,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,114
374,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,115
375,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,115
376,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,115
377,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,116
378,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,116
379,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,116
380,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,117
381,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,117
382,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,117
383,23,internal,3,founder (j),B->B,A,B,A,3.3308011,24,36,118
