,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
254,26,internal,2,founder (j),A->C,A,A,C,3.17588,27,29,37
255,27,internal,4,founder (j),C->C,A,C,A,3.0362588,28,3,37
256,28,internal,4,founder (j),C->C,A,C,A,3.0306531,1,2,37
257,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,37
258,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,37
259,37,internal,4,founder (j),C->C,B,C,B,5.358032,38,18,37
260,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,38
261,32,internal,2,founder (j),A->A,C,A,C,1.8728553,33,36,38
262,33,internal,2,founder (j),A->C,A,A,C,1.6223356,34,35,38
263,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,38
264,40,internal,2,founder (j),A->A,C,A,C,3.2862197,41,21,38
265,24,internal,4,founder (j),C->A,C,C,A,5.1293042,25,32,39
266,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,39
267,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,39
268,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,39
269,37,internal,4,founder (j),C->C,B,C,B,5.358032,38,18,39
270,40,internal,4,founder (j),C->A,C,C,A,3.2862197,41,21,39
271,24,internal,4,founder (j),C->A,C,C,A,5.1293042,25,32,40
272,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,40
273,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,40
274,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,40
275,37,internal,4,founder (j),C->C,B,C,B,5.358032,38,18,40
276,40,internal,4,founder (j),C->A,C,C,A,3.2862197,41,21,40
277,22,root,2,founder (j),A->B,A,A,B,8.268425,23,40,41
278,24,internal,3,founder (j),B->A,B,B,A,5.1293042,25,32,41
279,27,internal,2,founder (j),A->C,A,A,C,3.0362588,28,3,41
280,28,internal,4,founder (j),C->C,A,C,A,3.0306531,1,2,41
281,32,internal,3,founder (j),B->C,B,B,C,1.8728553,33,36,41
282,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,41
283,36,internal,3,founder (j),B->C,B,B,C,1.7517825,13,14,41
284,37,internal,3,founder (j),B->C,B,B,C,5.358032,38,18,41
285,40,internal,2,founder (j),A->A,C,A,C,3.2862197,41,21,41
286,23,internal,2,founder (j),A->A,B,A,B,6.9527128,24,37,42
287,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,42
288,32,internal,2,founder (j),A->A,B,A,B,1.8728553,33,36,42
289,33,internal,2,founder (j),A->C,A,A,C,1.6223356,34,35,42
290,36,internal,3,founder (j),B->C,B,B,C,1.7517825,13,14,42
291,37,internal,3,founder (j),B->C,B,B,C,5.358032,38,18,42
292,23,internal,2,founder (j),A->A,C,A,C,6.9527128,24,37,43
293,27,internal,2,founder (j),A->C,A,A,C,3.0362588,28,3,43
294,28,internal,4,founder (j),C->C,A,C,A,3.0306531,1,2,43
295,32,internal,2,founder (j),A->A,B,A,B,1.8728553,33,36,43
296,33,internal,2,founder (j),A->C,A,A,C,1.6223356,34,35,43
297,36,internal,3,founder (j),B->C,B,B,C,1.7517825,13,14,43
298,37,internal,4,founder (j),C->C,B,C,B,5.358032,38,18,43
299,40,internal,2,founder (j),A->A,C,A,C,3.2862197,41,21,43
300,22,root,2,founder (j),A->A,C,A,C,8.268425,23,40,44
301,23,internal,2,founder (j),A->A,C,A,C,6.9527128,24,37,44
302,24,internal,2,founder (j),A->A,C,A,C,5.1293042,25,32,44
303,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,44
304,32,internal,4,founder (j),C->C,B,C,B,1.8728553,33,36,44
305,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,44
306,36,internal,3,founder (j),B->C,B,B,C,1.7517825,13,14,44
307,37,internal,4,founder (j),C->C,B,C,B,5.358032,38,18,44
308,40,internal,4,founder (j),C->A,C,C,A,3.2862197,41,21,44
309,23,internal,2,founder (j),A->A,C,A,C,6.9527128,24,37,45
310,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,45
311,32,internal,2,founder (j),A->A,B,A,B,1.8728553,33,36,45
312,33,internal,2,founder (j),A->C,A,A,C,1.6223356,34,35,45
313,36,internal,3,founder (j),B->C,B,B,C,1.7517825,13,14,45
314,37,internal,4,founder (j),C->C,B,C,B,5.358032,38,18,45
315,40,internal,2,founder (j),A->A,C,A,C,3.2862197,41,21,45
316,24,internal,4,founder (j),C->A,C,C,A,5.1293042,25,32,46
317,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,46
318,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,46
319,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,46
320,37,internal,4,founder (j),C->C,B,C,B,5.358032,38,18,46
321,23,internal,3,founder (j),B->A,B,B,A,6.9527128,24,37,47
322,24,internal,2,founder (j),A->A,C,A,C,5.1293042,25,32,47
323,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,47
324,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,47
325,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,47
326,37,internal,3,founder (j),B->C,B,B,C,5.358032,38,18,47
327,40,internal,2,founder (j),A->A,C,A,C,3.2862197,41,21,47
328,23,internal,4,founder (j),C->A,C,C,A,6.9527128,24,37,48
329,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,48
330,32,internal,2,founder (j),A->A,C,A,C,1.8728553,33,36,48
331,33,internal,2,founder (j),A->C,A,A,C,1.6223356,34,35,48
332,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,48
333,37,internal,4,founder (j),C->C,B,C,B,5.358032,38,18,48
334,40,internal,4,founder (j),C->A,C,C,A,3.2862197,41,21,48
335,24,internal,4,founder (j),C->A,C,C,A,5.1293042,25,32,49
336,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,49
337,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,49
338,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,49
339,40,internal,2,founder (j),A->A,C,A,C,3.2862197,41,21,49
340,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,50
341,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,50
342,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,50
343,37,internal,4,founder (j),C->C,B,C,B,5.358032,38,18,50
344,40,internal,2,founder (j),A->A,C,A,C,3.2862197,41,21,50
345,24,internal,4,founder (j),C->A,C,C,A,5.1293042,25,32,51
346,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,51
347,32,internal,4,founder (j),C->A,C,C,A,1.8728553,33,36,51
348,33,internal,2,founder (j),A->C,A,A,C,1.6223356,34,35,51
349,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,51
350,37,internal,4,founder (j),C->C,B,C,B,5.358032,38,18,51
351,40,internal,4,founder (j),C->A,C,C,A,3.2862197,41,21,51
352,24,internal,4,founder (j),C->A,C,C,A,5.1293042,25,32,52
353,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,52
354,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,52
355,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,52
356,37,internal,4,founder (j),C->C,B,C,B,5.358032,38,18,52
