AB->A,AB	AB->B,AB	ABC->A,ABC	ABC->B,ABC	ABC->C,ABC	AC->A,AC	AC->C,AC	BC->B,BC	BC->C,BC
412	0	2	0	0	0	1	1	0	0
413	0	2	1	0	1	0	0	0	0
414	0	1	1	0	1	0	0	0	0
415	0	2	1	0	1	0	0	0	0
416	0	2	0	0	0	1	1	0	0
417	0	2	1	0	1	0	0	0	0
418	2	2	0	0	0	0	0	1	1
419	0	2	0	0	0	1	1	0	0
420	0	1	0	0	0	1	1	0	0
421	0	2	0	0	1	0	0	0	0
422	0	2	0	0	0	1	1	0	0
423	0	2	0	0	1	0	0	0	0
424	0	2	1	0	1	0	0	0	0
425	0	1	0	0	0	1	1	0	0
426	0	2	1	0	1	0	0	0	0
427	0	1	0	0	0	1	1	0	0
428	0	2	0	0	1	0	0	0	0
429	0	0	0	0	0	1	1	0	0
430	0	2	0	0	0	1	1	0	0
431	0	2	0	0	0	1	1	0	0
432	0	2	0	0	0	1	1	0	0
433	0	0	0	0	0	1	1	0	0
434	0	2	1	0	1	0	0	0	0
435	1	0	1	0	1	0	0	0	0
436	0	2	1	0	1	0	0	0	0
437	0	2	0	0	1	0	0	0	0
438	0	2	0	0	1	0	0	0	0
439	0	2	0	0	0	1	1	0	0
440	0	2	1	0	1	0	0	0	0
441	0	2	0	0	1	0	0	0	0
442	0	2	1	0	1	0	0	0	0
443	0	2	1	0	1	0	0	0	0
444	0	2	0	0	0	1	1	0	0
445	0	2	1	0	1	0	0	0	0
446	1	0	0	0	0	0	0	1	1
447	0	2	0	0	0	1	1	0	0
448	0	2	0	0	0	1	1	0	0
449	0	2	0	0	0	1	1	0	0
450	0	0	1	0	1	0	0	0	0
451	0	2	1	0	1	0	0	0	0
452	0	2	1	0	1	0	0	0	0
453	0	2	0	0	0	1	1	0	0
454	0	0	1	0	1	0	0	0	0
455	1	0	0	1	1	0	0	0	0
456	0	2	0	0	0	1	0	0	0
457	0	2	0	0	0	1	1	0	0
458	0	2	0	0	1	0	0	0	0
459	0	0	0	0	0	1	1	0	0
460	1	1	0	0	1	0	0	0	0
461	1	0	0	1	1	0	0	0	0
462	0	2	0	0	1	0	0	0	0
463	0	2	0	0	0	1	1	0	0
464	1	0	0	0	0	1	0	0	0
465	0	2	1	0	1	0	0	0	0
466	0	2	0	0	0	0	0	0	0
467	0	2	0	0	1	0	0	0	0
468	0	2	0	0	0	1	1	0	0
469	0	2	1	0	1	0	0	0	0
470	0	2	0	0	0	1	1	0	0
471	0	2	0	0	1	0	0	0	0
472	0	2	0	0	0	1	1	0	0
473	0	2	1	0	1	0	0	0	0
474	0	2	1	0	1	0	0	0	0
475	2	2	0	0	0	0	0	0	0
476	0	2	0	0	0	1	1	0	0
477	2	2	0	0	0	1	1	0	0
478	0	2	0	0	0	1	1	0	0
479	0	0	0	0	0	1	1	0	0
480	1	2	0	0	1	0	0	0	0
481	0	2	0	0	0	1	1	0	0
482	0	2	1	0	1	0	0	0	0
483	0	2	1	0	1	0	0	0	0
484	0	2	1	0	0	0	0	0	1
485	0	2	0	0	0	0	0	0	0
486	0	2	0	0	0	1	1	0	0
487	2	2	0	0	1	0	0	0	0
488	0	2	1	0	1	0	0	0	0
489	1	2	1	0	1	0	0	0	0
490	0	2	0	0	0	1	1	0	0
491	0	0	1	0	1	0	0	0	0
492	0	2	0	0	0	1	1	0	0
493	0	2	1	0	1	0	0	0	0
494	2	2	0	0	0	1	1	0	0
495	0	2	0	0	0	1	1	0	0
496	0	2	1	0	1	0	0	0	0
497	0	2	1	0	1	0	0	0	0
498	0	2	1	0	1	0	0	0	0
499	0	2	0	0	0	1	1	0	0
500	2	2	1	0	1	0	0	0	0
501	0	2	0	0	0	0	0	0	0
502	0	2	1	0	1	0	0	0	0
503	1	2	1	0	1	0	0	0	0
504	2	2	1	0	1	0	0	0	0
505	2	2	0	0	0	0	0	1	0
506	0	2	1	0	1	0	0	0	0
507	0	0	0	0	0	1	1	0	0
508	0	2	1	0	1	0	0	0	0
509	0	2	1	0	1	0	0	0	0
510	0	0	0	0	0	1	1	0	0
511	0	2	1	0	1	0	0	0	0
512	0	2	1	0	1	0	0	0	0
513	0	2	1	0	1	0	0	0	0
514	0	2	1	0	1	0	0	0	0
515	0	2	0	0	0	1	1	0	0
516	1	0	0	0	0	0	0	1	1
517	0	2	0	0	1	0	0	0	0
518	1	1	0	0	0	1	1	0	0
519	2	2	1	0	1	0	0	0	0
520	0	2	0	0	0	1	1	0	0
521	0	0	1	0	1	0	0	0	0
522	1	2	1	0	1	0	0	0	0
523	0	0	1	0	1	0	0	0	0
524	1	2	0	0	0	1	1	0	0
525	1	2	1	0	1	0	0	0	0
526	1	0	0	1	1	0	0	0	0
527	0	0	1	0	1	0	0	0	0
528	0	2	0	0	0	1	1	0	0
529	1	0	0	1	1	0	0	0	0
530	0	2	0	0	0	1	1	0	0
531	0	2	0	0	0	1	1	0	0
532	0	0	0	0	0	1	1	0	0
