,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
172,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,44
173,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,45
174,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,45
175,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,45
176,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,45
177,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,46
178,30,internal,2,founder (j),A->A,B,A,B,8.029489,31,37,46
179,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,46
180,37,internal,3,founder (j),B->A,B,B,A,5.75728,38,12,46
181,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,46
182,27,internal,2,founder (j),A->A,B,A,B,14.6110133,28,45,47
183,28,internal,2,founder (j),A->A,C,A,C,9.8902159,29,18,47
184,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,47
185,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,47
186,45,internal,3,founder (j),B->C,B,B,C,13.5103594,46,48,47
187,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,48
188,30,internal,2,founder (j),A->A,B,A,B,8.029489,31,37,48
189,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,48
190,37,internal,3,founder (j),B->A,B,B,A,5.75728,38,12,48
191,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,48
192,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,49
193,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,49
194,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,49
195,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,50
196,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,50
197,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,50
198,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,50
199,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,51
200,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,51
201,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,51
