,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
146,27,internal,3,founder (j),B->C,B,B,C,4.3618615,28,8,42
147,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,42
148,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,43
149,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,43
150,30,internal,4,founder (j),C->B,C,C,B,4.8781392,31,11,43
151,31,internal,3,founder (j),B->C,B,B,C,1.9612794,9,10,43
152,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,44
153,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,44
154,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,44
155,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,45
156,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,45
157,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,45
158,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,46
159,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,46
160,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,46
161,19,root,4,founder (j),C->C,A,C,A,6.6399371,20,35,47
162,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,47
163,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,47
164,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,47
165,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,48
166,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,48
167,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,48
168,19,root,2,founder (j),A->C,A,A,C,6.6399371,20,35,49
169,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,49
170,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,49
171,30,internal,4,founder (j),C->B,C,C,B,4.8781392,31,11,49
172,31,internal,3,founder (j),B->C,B,B,C,1.9612794,9,10,49
173,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,50
174,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,50
175,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,50
176,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,51
177,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,51
178,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,51
179,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,52
180,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,52
181,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,52
182,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,53
183,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,53
184,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,53
185,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,54
186,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,54
187,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,54
188,19,root,4,founder (j),C->C,A,C,A,6.6399371,20,35,55
189,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,55
190,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,55
191,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,55
192,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,56
193,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,56
