,node,node.type,current_rangetxt,event_type,event_txt,ana_dispersal_from,dispersal_to,event_time,abs_event_time,nmap
30,5,tip,A,d,A->AB,A,B,4.94847484520778,2.57033754279222,14
31,22,internal,A,d,A->AB,A,B,0.352360933994728,3.38691272600527,14
32,22,internal,A,d,A->AB,A,B,0.922200666653788,2.81707299334621,15
33,5,tip,A,d,A->AB,A,B,4.59085783121381,2.92795455678619,16
34,20,internal,A,d,A->AB,A,B,1.98370102586392,6.36387214913608,16
35,5,tip,A,d,A->AB,A,B,1.5603249853945,5.9584874026055,17
36,22,internal,A,d,A->AB,A,B,0.384305890543469,3.35496776945653,17
37,5,tip,A,d,A->AB,A,B,6.00485843584231,1.51395395215769,18
38,22,internal,A,d,A->AB,A,B,0.0531846477135481,3.68608901228645,18
39,5,tip,A,d,A->AB,A,B,4.58984065459271,2.92897173340729,19
40,7,tip,B,d,B->AB,B,A,1.31055170794062,0.772375379059384,19
41,21,internal,A,d,A->AB,A,B,0.169898311061867,4.32637248513813,19
42,5,tip,A,d,A->AB,A,B,5.04447728734006,2.47433510065994,20
43,22,internal,A,d,A->AB,A,B,0.739376200710499,2.9998974592895,20
44,7,tip,A,d,A->AB,A,B,2.04088032086107,0.0420467661389301,21
45,22,internal,A,d,A->AB,A,B,0.0454927581081998,3.6937809018918,21
46,5,tip,B,d,B->AB,B,A,0.860326296402938,6.65848609159706,22
47,7,tip,B,d,B->AB,B,A,1.43802485319734,0.644902233802657,22
48,20,internal,B,d,B->AB,B,A,0.303108627243221,8.04446454775678,22
49,21,internal,A,d,A->AB,A,B,0.154707588478153,4.34156320772185,23
50,5,tip,A,d,A->AB,A,B,6.5326313959496,0.986180992050403,24
51,22,internal,A,d,A->AB,A,B,0.231388019483218,3.50788564051678,24
52,5,tip,A,d,A->AB,A,B,2.36202438571374,5.15678800228626,25
53,22,internal,A,d,A->AB,A,B,0.198352968720468,3.54092069127953,25
54,5,tip,A,d,A->AB,A,B,1.79710597120955,5.72170641679045,26
55,7,tip,A,d,A->AB,A,B,1.1719674199938,0.910959667006201,26
56,22,internal,A,d,A->AB,A,B,0.123163972353507,3.61610968764649,26
57,22,internal,A,d,A->AB,A,B,0.563505083596975,3.17576857640303,27
58,5,tip,B,d,B->AB,B,A,3.7633014022005,3.7555109857995,28
59,22,internal,A,d,A->AB,A,B,1.07515329639714,2.66412036360286,28
60,22,internal,A,d,A->AB,A,B,0.16972827871883,3.56954538128117,29
61,5,tip,A,d,A->AB,A,B,2.37847529568,5.14033709232,30
62,22,internal,A,d,A->AB,A,B,1.14290163845006,2.59637202154994,30
63,5,tip,B,d,B->AB,B,A,6.46013703477496,1.05867535322504,31
64,22,internal,A,d,A->AB,A,B,0.600564798024964,3.13870886197504,31
65,5,tip,A,d,A->AB,A,B,7.36274849858766,0.156063889412343,32
66,21,internal,A,d,A->AB,A,B,0.707303652098951,3.78896714410105,32
67,5,tip,A,d,A->AB,A,B,3.95785553460659,3.56095685339341,33
68,22,internal,A,d,A->AB,A,B,1.25873677424932,2.48053688575068,33
69,20,internal,A,d,A->AB,A,B,0.0195497607011946,8.3280234142988,34
70,5,tip,A,d,A->AB,A,B,0.100083655415816,7.41872873258418,35
71,22,internal,A,d,A->AB,A,B,0.907304422756923,2.83196923724308,35
72,5,tip,B,d,B->AB,B,A,6.9414740023978,0.577338385602197,36
73,7,tip,B,d,B->AB,B,A,0.8946015478147,1.1883255391853,36
74,20,internal,A,d,A->AB,A,B,0.40617657320138,7.94139660179862,36
75,21,internal,A,d,A->AB,A,B,0.0804358321354111,4.41583496406459,37
76,5,tip,A,d,A->AB,A,B,3.04606192391407,4.47275046408593,38
77,21,internal,A,d,A->AB,A,B,0.0306727993905752,4.46559799680943,38
78,5,tip,A,d,A->AB,A,B,2.05383125475129,5.46498113324871,39
79,22,internal,A,d,A->AB,A,B,0.971594973706188,2.76767868629381,39
80,22,internal,A,d,A->AB,A,B,1.39331062504379,2.34596303495621,40
81,16,internal,AC,d,AC->ABC,C,B,0.342788535473434,8.00478467202656,41
82,22,internal,A,d,A->AB,A,B,0.257537293781311,3.48173636621869,41
83,22,internal,A,d,A->AB,A,B,1.06301609909051,2.67625756090949,42
84,16,internal,AC,d,AC->ABC,A,B,0.476987264015689,7.87058594348431,43
85,20,internal,A,d,A->AB,A,B,2.0072193371961,6.3403538378039,43
86,5,tip,A,d,A->AB,A,B,5.58478803392727,1.93402435407273,44
87,22,internal,A,d,A->AB,A,B,0.332279724978818,3.40699393502118,44
88,16,internal,AC,d,AC->ABC,C,B,0.352332358664607,7.99524084883539,45
89,22,internal,A,d,A->AB,A,B,0.87814710071128,2.86112655928872,45
90,22,internal,A,d,A->AB,A,B,0.304863536276578,3.43441012372342,46
