,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
263,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,41
264,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,41
265,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,41
266,47,internal,2,founder (j),A->B,A,A,B,3.5694601,23,24,41
267,28,internal,2,founder (j),A->C,A,A,C,4.4213959,29,41,42
268,29,internal,4,founder (j),C->C,A,C,A,3.362699,30,37,42
269,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,42
270,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,42
271,42,internal,2,founder (j),A->B,A,A,B,4.1799539,43,21,42
272,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,42
273,47,internal,2,founder (j),A->B,A,A,B,3.5694601,23,24,42
274,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,43
275,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,43
276,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,43
277,42,internal,2,founder (j),A->B,A,A,B,4.1799539,43,21,43
278,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,43
279,27,internal,3,founder (j),B->A,B,B,A,5.6994331,28,42,44
280,28,internal,2,founder (j),A->A,B,A,B,4.4213959,29,41,44
281,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,44
282,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,44
283,41,internal,3,founder (j),B->B,A,B,A,1.5168997,14,15,44
284,42,internal,3,founder (j),B->B,A,B,A,4.1799539,43,21,44
285,45,internal,3,founder (j),B->A,B,B,A,1.6084318,46,18,44
286,46,internal,2,founder (j),A->A,B,A,B,0.859385,16,17,44
287,47,internal,3,founder (j),B->B,A,B,A,3.5694601,23,24,44
288,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,45
289,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,45
290,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,45
291,42,internal,2,founder (j),A->B,A,A,B,4.1799539,43,21,45
292,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,45
293,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,46
294,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,46
295,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,46
296,42,internal,2,founder (j),A->B,A,A,B,4.1799539,43,21,46
297,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,46
298,47,internal,2,founder (j),A->B,A,A,B,3.5694601,23,24,46
299,28,internal,3,founder (j),B->A,B,B,A,4.4213959,29,41,47
300,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,47
301,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,47
302,41,internal,3,founder (j),B->B,A,B,A,1.5168997,14,15,47
303,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,47
304,47,internal,3,founder (j),B->B,A,B,A,3.5694601,23,24,47
305,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,48
306,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,48
